Drug1,Drug1_ID,Drug2,Drug2_ID,Interaction
calcium,DB01373,emcyt,N/A,1
allopurinol,DB00437,ampicillin,DB00415,0
ampicillin,DB00415,ampicillin,DB00415,0
ampicillin,DB00415,allopurinol,DB00437,1
augmentin xr,N/A,allopurinol,DB00437,0
augmentin xr,N/A,augmentin xr,N/A,0
allopurinol,DB00437,augmentin xr,N/A,0
broad-spectrum antibiotics,N/A,augmentin xr,N/A,0
broad-spectrum antibiotics,N/A,contraceptives,N/A,1
augmentin xr,N/A,contraceptives,N/A,1
central nervous system depressants,N/A,benzodiazepines,N/A,0
romazicon,N/A,narcotics,N/A,0
romazicon,N/A,anesthetics,N/A,0
romazicon,N/A,muscle relaxants,N/A,0
narcotics,N/A,anesthetics,N/A,0
narcotics,N/A,muscle relaxants,N/A,0
anesthetics,N/A,muscle relaxants,N/A,0
romazicon,N/A,cyclic antidepressants,N/A,1
romazicon,N/A,benzodiazepine,DB12537,1
romazicon,N/A,flumazenil,DB01205,0
cyclic antidepressants,N/A,benzodiazepine,DB12537,0
cyclic antidepressants,N/A,flumazenil,DB01205,0
benzodiazepine,DB12537,flumazenil,DB01205,0
romazicon,N/A,benzodiazepines,N/A,1
zopiclone,DB01198,romazicon,N/A,1
benzodiazepines,N/A,flumazenil,DB01205,0
ethanol,DB00898,flumazenil,DB01205,0
romazicon,N/A,long-acting benzodiazepine,N/A,0
long-acting benzodiazepines,N/A,diazepam,DB00829,0
long-acting benzodiazepines,N/A,short-acting benzodiazepines,N/A,0
long-acting benzodiazepines,N/A,midazolam,DB00683,0
diazepam,DB00829,short-acting benzodiazepines,N/A,0
diazepam,DB00829,midazolam,DB00683,0
short-acting benzodiazepines,N/A,midazolam,DB00683,0
benzodiazepines,N/A,benzodiazepine,DB12537,0
benzodiazepines,N/A,alcohol,N/A,1
benzodiazepines,N/A,sedative,N/A,0
benzodiazepines,N/A,romazicon,N/A,0
benzodiazepine,DB12537,alcohol,N/A,0
benzodiazepine,DB12537,sedative,N/A,0
benzodiazepine,DB12537,romazicon,N/A,0
alcohol,N/A,sedative,N/A,0
alcohol,N/A,romazicon,N/A,0
sedative,N/A,romazicon,N/A,0
trisenox,N/A,antiarrhythmics,N/A,1
trisenox,N/A,thioridazine,DB00679,1
trisenox,N/A,diuretics,N/A,1
trisenox,N/A,amphotericin b,DB00681,1
antiarrhythmics,N/A,thioridazine,DB00679,0
antiarrhythmics,N/A,diuretics,N/A,0
antiarrhythmics,N/A,amphotericin b,DB00681,0
thioridazine,DB00679,diuretics,N/A,0
thioridazine,DB00679,amphotericin b,DB00681,0
diuretics,N/A,amphotericin b,DB00681,0
