Drug1,Drug2,Interaction
calcium,EMCYT,1
allopurinol,ampicillin,0
ampicillin,ampicillin,0
ampicillin,allopurinol,1
AUGMENTIN XR,allopurinol,0
AUGMENTIN XR,AUGMENTIN XR,0
allopurinol,AUGMENTIN XR,0
broad-spectrum antibiotics,AUGMENTIN XR,0
broad-spectrum antibiotics,contraceptives,1
AUGMENTIN XR,contraceptives,1
central nervous system depressants,benzodiazepines,0
ROMAZICON,narcotics,0
ROMAZICON,anesthetics,0
ROMAZICON,muscle relaxants,0
narcotics,anesthetics,0
narcotics,muscle relaxants,0
anesthetics,muscle relaxants,0
ROMAZICON,cyclic antidepressants,1
ROMAZICON,benzodiazepine,1
ROMAZICON,flumazenil,0
cyclic antidepressants,benzodiazepine,0
cyclic antidepressants,flumazenil,0
benzodiazepine,flumazenil,0
ROMAZICON,benzodiazepines,1
zopiclone,ROMAZICON,1
benzodiazepines,flumazenil,0
ethanol,flumazenil,0
ROMAZICON,long-acting benzodiazepine,0
long-acting benzodiazepines,diazepam,0
long-acting benzodiazepines,short-acting benzodiazepines,0
long-acting benzodiazepines,midazolam,0
diazepam,short-acting benzodiazepines,0
diazepam,midazolam,0
short-acting benzodiazepines,midazolam,0
benzodiazepines,benzodiazepine,0
benzodiazepines,alcohol,1
benzodiazepines,sedative,0
benzodiazepines,ROMAZICON,0
benzodiazepine,alcohol,0
benzodiazepine,sedative,0
benzodiazepine,ROMAZICON,0
alcohol,sedative,0
alcohol,ROMAZICON,0
sedative,ROMAZICON,0
TRISENOX,antiarrhythmics,1
TRISENOX,thioridazine,1
TRISENOX,diuretics,1
TRISENOX,amphotericin B,1
antiarrhythmics,thioridazine,0
antiarrhythmics,diuretics,0
antiarrhythmics,amphotericin B,0
thioridazine,diuretics,0
thioridazine,amphotericin B,0
diuretics,amphotericin B,0
desloratadine,erythromycin,0
desloratadine,ketoconazole,0
erythromycin,ketoconazole,0
desloratadine,azithromycin,0
desloratadine,fluoxetine,0
desloratadine,cimetidine,0
azithromycin,fluoxetine,0
azithromycin,cimetidine,0
fluoxetine,fluoxetine,0
fluoxetine,cimetidine,0
desloratadine,3-hydroxydesloratadine,0
desloratadine,desloratadine,0
3-hydroxydesloratadine,desloratadine,0
Desloratadine,3-Hydroxydesloratadine,0
Enoxaparin,eptifibatide,0
Amphotericin B,potassium-depleting diuretics,0
Amphotericin B,benzothiadiazines,0
Amphotericin B,ethacrynic acid,0
Amphotericin B,furosemide,0
potassium-depleting diuretics,benzothiadiazines,0
potassium-depleting diuretics,ethacrynic acid,0
potassium-depleting diuretics,furosemide,0
benzothiadiazines,ethacrynic acid,0
benzothiadiazines,furosemide,0
ethacrynic acid,furosemide,0
Digitalis glycosides,digitalis,0
Antidiabetic drugs,insulin,0
salicylate,steroids,0
salicylate,aspirin,0
steroids,aspirin,1
Barbiturates,phenytoin,0
Barbiturates,rifampin,0
Barbiturates,fludrocortisone acetate,1
phenytoin,rifampin,0
phenytoin,fludrocortisone acetate,1
rifampin,fludrocortisone acetate,1
steroid,steroid,0
Anabolic steroids,androgens,0
Anabolic steroids,oxymetholone,0
Anabolic steroids,methandrostenolone,0
Anabolic steroids,norethandrolone,0
androgens,oxymetholone,0
androgens,methandrostenolone,0
androgens,norethandrolone,0
oxymetholone,methandrostenolone,0
oxymetholone,norethandrolone,0
methandrostenolone,norethandrolone,0
estrogen,corticosteroid,0
estrogen,estrogen,0
corticosteroid,estrogen,0
Oxytocin,oxytocics,0
Oxytocin,dinoprost,1
oxytocics,dinoprost,1
Acetaminophen,acetaminophen,0
Acetaminophen,Isoniazid,0
acetaminophen,Isoniazid,1
isoniazid,acetaminophen,1
Carbamazepine,Isoniazid,0
Carbamazepine,carbamazepine,0
Carbamazepine,Carbamazepine,0
Carbamazepine,isoniazid,1
Carbamazepine,anticonvulsant,0
Isoniazid,carbamazepine,0
Isoniazid,Carbamazepine,0
Isoniazid,isoniazid,0
Isoniazid,anticonvulsant,0
carbamazepine,Carbamazepine,0
carbamazepine,isoniazid,0
carbamazepine,carbamazepine,0
carbamazepine,anticonvulsant,0
isoniazid,carbamazepine,0
isoniazid,anticonvulsant,0
Ketoconazole,Ketoconazole,0
Ketoconazole,Isoniazid,1
Phenytoin,Isoniazid,0
Phenytoin,phenytoin,0
Isoniazid,phenytoin,1
phenytoin,anticonvulsant,0
isoniazid,theophylline,0
isoniazid,isoniazid,0
theophylline,theophylline,0
theophylline,isoniazid,0
Valproate,valproate,0
Valproate,isoniazid,0
valproate,isoniazid,0
valproate,valproate,0
isoniazid,valproate,0
MYOBLOC,aminoglycosides,1
MYOBLOC,curare-like compounds,1
MYOBLOC,toxin,0
aminoglycosides,curare-like compounds,0
aminoglycosides,toxin,0
curare-like compounds,toxin,0
Hormonal Contraceptives,Contraceptives,0
Hormonal Contraceptives,bosentan,0
Hormonal Contraceptives,hormonal contraceptive,0
Hormonal Contraceptives,Ortho-Novum,0
Hormonal Contraceptives,norethindrone,0
Hormonal Contraceptives,ethinyl estradiol,0
Contraceptives,bosentan,0
Contraceptives,hormonal contraceptive,0
Contraceptives,Ortho-Novum,0
Contraceptives,norethindrone,0
Contraceptives,ethinyl estradiol,0
bosentan,hormonal contraceptive,0
bosentan,Ortho-Novum,1
bosentan,norethindrone,0
bosentan,ethinyl estradiol,0
hormonal contraceptive,Ortho-Novum,0
hormonal contraceptive,norethindrone,0
hormonal contraceptive,ethinyl estradiol,0
Ortho-Novum,norethindrone,0
Ortho-Novum,ethinyl estradiol,0
norethindrone,ethinyl estradiol,0
hormonal contraceptives,TRACLEER,1
Cyclosporine A,bosentan,0
bosentan,cyclosporine A,1
Tacrolimus,tacrolimus,0
